ID_Sucursal,Sucursal,Ctx_Fecha_Hoy,Ctx_Dia_Del_Mes,Ctx_Dias_Totales_Mes,Ctx_Dias_Restantes,Ctx_Pct_Mes_Transcurrido,Ctx_Ultima_Franja_Hora,Acum_Tickets,Acum_Unidades,Acum_Neto,Acum_Cobertura,Acum_Cliente,Hoy_Tickets,Hoy_Unidades,Hoy_Neto,Hoy_Cobertura,Hoy_Cliente,Hora_Pico_Hoy,Hora_Pico_Hoy_Neto,Ultima_Franja_Con_Datos,Hora_Neto_Total,Hora_Tickets_Total,Hora_Unidades_Total,Ultima_Hora_Ticket,Alerta_Inactividad,SemAnt_Neto_HastaAhora,SemAnt_Tickets_HastaAhora,SemAnt_Unidades_HastaAhora,SemAnt_Neto_DiaCompleto,SemAnt_Tickets_DiaCompleto,Var_Pct_vs_SemAnt_HastaAhora,Obj_Meta1_UN_Mes,Obj_Meta1_Pesos_Mes,Obj_Meta2_UN_Mes,Obj_Meta2_Pesos_Mes,Obj_Meta3_UN_Mes,Obj_Meta3_Pesos_Mes,MetaAcum_Meta1_Pesos,MetaAcum_Meta2_Pesos,MetaAcum_Meta3_Pesos,MetaAcum_Meta1_UN,Avance_Pct_vs_MetaAcum_M1,Avance_Pct_vs_MetaAcum_M2,Avance_Pct_vs_MetaAcum_M3,Avance_Pct_vs_MetaAcum_UN_M1,Delta_vs_MetaAcum_M1,Delta_vs_MetaAcum_M2,Delta_vs_MetaAcum_M3,Falta_Meta1_FinMes,Falta_Meta2_FinMes,Falta_Meta3_FinMes,Ritmo_Real_Diario,Ritmo_Necesario_Meta1,Ritmo_Necesario_Meta2,Ritmo_Necesario_Meta3,Proyeccion_Neto_FinMes,Proyeccion_UN_FinMes,Estado_Acumulado,Meta_Proyectada_FinMes,Semaforo
2,PARQUE PATRICIOS,2026-04-17,17,30,13,56.7,16,12201,15503,246663970.81,88004889.24,160187878.51,526,702,11763459.06,4873232.76,6586846.0,15,3913487.65,15,11763459.059999999,526,702,15:59:05,ACTIVA,14796126.06,686,794,18611239.44,931,-20.5,14644.611166237417,237823832.3629571,14888.18210728324,241779347.05667022,15131.753048329048,245734861.75038347,134867356.71345332,137110486.8736307,139353617.03380808,8304.802670375258,182.9,179.9,177.0,186.7,111796614.0,109553484.0,107310354.0,-8840138.0,-4884624.0,-929109.0,14509645.0,0.0,0.0,0.0,435289356.0,27358.0,ARRIBA META 3,META 3,VERDE SOBRE META 3
4,RETIRO II,2026-04-17,17,30,13,56.7,16,12605,15949,261560469.27,92476294.95,170913097.39,581,849,15971989.09,8410326.64,6426388.25,14,3527292.54,15,15971989.09,581,849,15:59:47,ACTIVA,15670998.93,674,841,19658203.37,929,1.9,14577.475567503958,274957581.0555789,14819.929901165953,279530708.74092096,15062.38423482796,284103836.4262629,156142852.51076669,158739839.28575915,161336826.0607516,8278.253717456066,167.5,164.8,162.1,192.7,105417617.0,102820630.0,100223643.0,13397112.0,17970239.0,22543367.0,15385910.0,1030547.0,1382326.0,1734105.0,461577299.0,28145.0,ARRIBA META 3,META 3,VERDE SOBRE META 3
5,RECOLETA IV,2026-04-17,17,30,13,56.7,16,20028,26828,562659248.89,217634485.15,330208167.6,738,956,18140512.33,7298152.38,24487692.93,14,4625474.02,15,18140512.33,738,956,15:53:44,ACTIVA,31470833.83,865,1157,43631194.160000004,1332,-42.4,23511.66476945616,558469699.0755439,23902.713616601577,567758234.5378581,24293.76246374701,577046770.000173,315205053.9014354,320447582.41446084,325690110.9274862,13270.183813439853,178.5,175.6,172.8,202.2,247454195.0,242211666.0,236969138.0,-4189550.0,5098986.0,14387521.0,33097603.0,0.0,392230.0,1106732.0,992928088.0,47344.0,ARRIBA META 3,META 3,VERDE SOBRE META 3
6,RECOLETA II,2026-04-17,17,30,13,56.7,16,10591,12807,273508645.36,99406395.82,185428713.69,465,532,10765709.59,3659340.99,6600364.01,12,2215514.14,15,10765709.59,465,532,15:56:37,ACTIVA,14821751.07,653,712,20954883.580000002,852,-27.4,12483.356282402043,281293614.50983626,12690.980971279065,285972123.8685756,12898.60566015608,290650633.2273148,161206239.85268608,163887441.4972815,166568643.1418769,7154.072553456669,169.7,166.9,164.2,179.0,112302406.0,109621204.0,106940002.0,7784969.0,12463479.0,17141988.0,16088744.0,598844.0,958729.0,1318614.0,482662317.0,22601.0,ARRIBA META 3,META 3,VERDE SOBRE META 3
7,BELGRANO,2026-04-17,17,30,13,56.7,16,15856,19736,435813987.7,175835186.89,221643173.15,609,744,18849314.04,8876167.3,8189994.3,12,3717754.91,16,18857914.22,610,745,16:00:01,ACTIVA,22590964.06,841,973,34809419.84,1252,-16.6,18250.840237757482,432495003.02853143,18554.39041612179,439688312.1365355,18857.940594486117,446881621.2445398,244707306.48948175,248777307.9559491,252847309.42241642,10326.39435017208,178.1,175.2,172.4,191.1,191106681.0,187036680.0,182966678.0,-3318985.0,3874324.0,11067634.0,25636117.0,0.0,298025.0,851356.0,769083509.0,34828.0,ARRIBA META 3,META 3,VERDE SOBRE META 3
8,MICROCENTRO II,2026-04-17,17,30,13,56.7,16,17308,23382,492573882.79,238259633.67,230933449.14,940,1143,26100631.79,12426408.2,11132629.77,12,5149850.12,15,26104237.33,941,1144,15:59:49,ACTIVA,27268274.29,1019,1225,37702381.0,1339,-4.3,22474.92015596207,495469208.5768082,22848.725741523664,503709912.2747329,23222.531327085242,511950615.9726574,283914145.07337314,288636239.412837,293358333.7523009,12878.595947467664,173.5,170.7,167.9,181.6,208659738.0,203937643.0,199215549.0,2895326.0,11136029.0,19376733.0,28974934.0,222717.0,856618.0,1490518.0,869248025.0,41262.0,ARRIBA META 3,META 3,VERDE SOBRE META 3
9,CABALLITO III,2026-04-17,17,30,13,56.7,16,18022,21846,463439419.66,190889159.61,244396705.54,760,984,22334268.66,11980830.02,8515889.87,13,4271829.5,15,22334268.66,760,984,15:55:30,ACTIVA,24805540.439999998,791,1036,38784285.12,1369,-10.0,20322.82568605696,490608361.57392144,20660.83737656024,498768219.0776156,20998.849067063504,506928076.58130974,276656680.7250417,281258068.04122835,285859455.357415,11460.150167886999,167.5,164.8,162.1,190.6,186782739.0,182181352.0,177579964.0,27168942.0,35328799.0,43488657.0,27261142.0,2089919.0,2717600.0,3345281.0,817834266.0,38552.0,ARRIBA META 3,META 3,VERDE SOBRE META 3
10,RECOLETA,2026-04-17,17,30,13,56.7,16,10993,13818,250463269.72,82995769.47,154506657.49,515,670,14672126.71,5485281.94,8995557.3,12,3389644.51,15,14672126.71,515,670,15:59:10,ACTIVA,16337167.99,751,955,21558293.5,1002,-10.2,12972.120078869513,231677551.25807112,13187.873946220669,235530840.26237154,13403.627813571818,239384129.26667204,131470092.97898042,133656719.4385547,135843345.89812893,7361.290827024227,190.5,187.4,184.4,187.7,118993177.0,116806550.0,114619924.0,-18785718.0,-14932429.0,-11079140.0,14733134.0,0.0,0.0,0.0,441994012.0,24385.0,ARRIBA META 3,META 3,VERDE SOBRE META 3
11,POMPEYA,2026-04-17,17,30,13,56.7,16,10804,13885,235017173.44,104277649.11,134311531.17,637,858,12174820.35,5175664.82,7627950.17,12,2150634.97,15,12174820.35,637,858,15:59:37,ACTIVA,12275501.4,590,736,19351322.62,922,-0.8,14392.730584801235,258174059.21727446,14632.112217605596,262468041.34102988,14871.493850409952,266762023.46478495,145121285.99981853,147534960.74990317,149948635.4999878,8090.245696441062,161.9,159.3,156.7,171.6,89895887.0,87482213.0,85068538.0,23156886.0,27450868.0,31744850.0,13824540.0,1781299.0,2111605.0,2441912.0,414736193.0,24503.0,ARRIBA META 3,META 3,VERDE SOBRE META 3
12,DEVOTO,2026-04-17,17,30,13,56.7,16,32634,40226,808970722.89,341896300.58,436826023.58,1166,1597,30998216.47,14584820.19,17304895.95,12,7605537.24,15,30998216.47,1166,1597,15:57:28,ACTIVA,32545425.77,1240,1537,52951082.28,2066,-4.8,37431.65366095503,842417730.750086,38054.22144398499,856428924.1579072,38676.78922701494,870440117.5657266,468438869.7158079,476230001.55426645,484021133.39272493,20814.42601750412,172.7,169.9,167.1,193.3,340531853.0,332740721.0,324949589.0,33447008.0,47458201.0,61469395.0,47586513.0,2572847.0,3650631.0,4728415.0,1427595392.0,70987.0,ARRIBA META 3,META 3,VERDE SOBRE META 3
