ID_Sucursal,Sucursal,Fecha,Hora,Tickets,Unidades,Neto,Saldo_Cobertura,Saldo_Cliente
2,PARQUE PATRICIOS,2026-04-17,8,29,42,486225.99,209391.18,390209.13
2,PARQUE PATRICIOS,2026-04-17,9,42,65,666822.48,32767.96,634855.34
2,PARQUE PATRICIOS,2026-04-17,10,63,75,1322943.43,648618.6,709679.62
2,PARQUE PATRICIOS,2026-04-17,11,91,113,1377192.89,245948.06,1418923.38
2,PARQUE PATRICIOS,2026-04-17,12,78,91,1719372.22,407035.46,802180.33
2,PARQUE PATRICIOS,2026-04-17,13,70,111,1019450.04,253031.91,901794.01
2,PARQUE PATRICIOS,2026-04-17,14,69,90,1257964.36,259394.09,658733.23
2,PARQUE PATRICIOS,2026-04-17,15,84,115,3913487.65,2817045.5,1070470.96
4,RETIRO II,2026-04-17,8,32,34,523473.8,194663.04,293849.24
4,RETIRO II,2026-04-17,9,21,27,588918.24,236191.8,245711.5
4,RETIRO II,2026-04-17,10,71,195,2190640.88,1321077.98,920127.26
4,RETIRO II,2026-04-17,11,60,84,1791007.41,1114967.9,778861.53
4,RETIRO II,2026-04-17,12,102,120,3282746.53,2243954.31,809733.47
4,RETIRO II,2026-04-17,13,107,117,2179164.41,839651.3,1331320.49
4,RETIRO II,2026-04-17,14,109,191,3527292.54,1701721.06,1321929.15
4,RETIRO II,2026-04-17,15,79,81,1888745.28,758099.24,724855.6
5,RECOLETA IV,2026-04-17,8,50,85,823373.79,260569.84,519258.35
5,RECOLETA IV,2026-04-17,9,76,88,1267927.9,508099.27,777126.87
5,RECOLETA IV,2026-04-17,10,136,153,2723219.45,665731.28,2930385.51
5,RECOLETA IV,2026-04-17,11,111,153,3679706.71,1198693.43,15266623.11
5,RECOLETA IV,2026-04-17,12,98,121,2050880.34,666907.13,1094260.68
5,RECOLETA IV,2026-04-17,13,106,141,1676177.95,439287.36,1284204.31
5,RECOLETA IV,2026-04-17,14,109,128,4625474.02,2975963.49,2203697.44
5,RECOLETA IV,2026-04-17,15,52,87,1293752.17,582900.58,412136.66
6,RECOLETA II,2026-04-17,8,18,21,385837.22,0.0,240752.75
6,RECOLETA II,2026-04-17,9,24,31,202623.27,16311.62,174661.7
6,RECOLETA II,2026-04-17,10,61,67,1701264.8,667951.26,878464.72
6,RECOLETA II,2026-04-17,11,64,72,1543573.4,416604.0,909456.85
6,RECOLETA II,2026-04-17,12,102,142,2215514.14,954889.31,1721919.71
6,RECOLETA II,2026-04-17,13,87,82,1811008.14,495829.26,1202011.9
6,RECOLETA II,2026-04-17,14,66,72,2040014.51,854927.5,914847.64
6,RECOLETA II,2026-04-17,15,43,45,865874.11,252828.04,558248.74
7,BELGRANO,2026-04-17,8,5,7,33150.65,12770.62,10190.02
7,BELGRANO,2026-04-17,9,26,42,2169660.68,1856982.14,231428.54
7,BELGRANO,2026-04-17,10,78,104,2530610.02,945688.87,1250375.76
7,BELGRANO,2026-04-17,11,112,119,2704765.98,966770.22,1776945.84
7,BELGRANO,2026-04-17,12,121,160,3717754.91,1715079.92,1668342.49
7,BELGRANO,2026-04-17,13,98,117,2822565.69,930604.46,1457858.75
7,BELGRANO,2026-04-17,14,94,115,2552149.89,1273334.53,916623.46
7,BELGRANO,2026-04-17,15,75,80,2318656.22,1174936.53,878229.44
7,BELGRANO,2026-04-17,16,1,1,8600.18,0.0,8600.18
8,MICROCENTRO II,2026-04-17,8,52,81,2617214.11,1494227.13,901874.33
8,MICROCENTRO II,2026-04-17,9,76,140,1596847.57,567537.32,679092.21
8,MICROCENTRO II,2026-04-17,10,74,96,1926211.1,1207325.66,684421.52
8,MICROCENTRO II,2026-04-17,11,120,131,3847093.39,2102608.58,1562389.32
8,MICROCENTRO II,2026-04-17,12,157,187,5149850.12,2369564.13,2302695.81
8,MICROCENTRO II,2026-04-17,13,203,236,3065447.27,885690.87,2016780.54
8,MICROCENTRO II,2026-04-17,14,111,91,4992572.79,2467319.16,1623697.03
8,MICROCENTRO II,2026-04-17,15,148,182,2909000.98,1332135.35,1365284.55
9,CABALLITO III,2026-04-17,8,26,25,754983.26,304443.72,224221.3
9,CABALLITO III,2026-04-17,9,77,124,1717228.96,907594.66,707782.98
9,CABALLITO III,2026-04-17,10,81,106,2895362.92,1112705.22,1272642.48
9,CABALLITO III,2026-04-17,11,115,133,3511860.34,1315208.54,1567917.01
9,CABALLITO III,2026-04-17,12,158,196,3512830.16,1610912.41,1593090.97
9,CABALLITO III,2026-04-17,13,110,133,4271829.5,2919025.27,1293964.22
9,CABALLITO III,2026-04-17,14,80,145,2767003.48,2096981.66,723247.55
9,CABALLITO III,2026-04-17,15,113,122,2903170.04,1713958.54,1133023.36
10,RECOLETA,2026-04-17,8,30,35,564482.12,102833.44,431618.02
10,RECOLETA,2026-04-17,9,34,48,615117.56,221722.12,400099.33
10,RECOLETA,2026-04-17,10,94,114,2906823.21,1249772.06,2062905.52
10,RECOLETA,2026-04-17,11,58,103,1497542.03,319133.62,759000.46
10,RECOLETA,2026-04-17,12,98,110,3389644.51,1341625.36,1848436.58
10,RECOLETA,2026-04-17,13,61,75,1411316.75,473583.01,831943.86
10,RECOLETA,2026-04-17,14,75,108,1950230.34,884005.19,1059418.84
10,RECOLETA,2026-04-17,15,65,77,2336970.19,892607.13,1602134.69
11,POMPEYA,2026-04-17,8,27,20,131976.4,0.0,126980.94
11,POMPEYA,2026-04-17,9,35,49,1556993.34,1235457.58,289952.82
11,POMPEYA,2026-04-17,10,89,165,1436954.55,489410.82,1449470.26
11,POMPEYA,2026-04-17,11,110,156,2117093.8,851772.92,1293084.78
11,POMPEYA,2026-04-17,12,103,125,2150634.97,710863.17,1695041.11
11,POMPEYA,2026-04-17,13,102,130,1948125.8,785616.19,1113228.67
11,POMPEYA,2026-04-17,14,84,107,1320717.28,442821.4,780216.29
11,POMPEYA,2026-04-17,15,87,106,1512324.21,659722.74,879975.3
12,DEVOTO,2026-04-17,8,21,32,253188.68,121215.68,125243.36
12,DEVOTO,2026-04-17,9,76,95,1772875.95,816683.2,718252.44
12,DEVOTO,2026-04-17,10,151,175,3316707.8,1410272.97,1538302.71
12,DEVOTO,2026-04-17,11,168,222,5049897.12,3160049.66,1880222.16
12,DEVOTO,2026-04-17,12,277,498,7605537.24,3234450.17,4571121.49
12,DEVOTO,2026-04-17,13,113,137,3207058.5,1743082.99,1997163.22
12,DEVOTO,2026-04-17,14,220,271,6189741.28,2365602.33,4606031.54
12,DEVOTO,2026-04-17,15,140,167,3603209.9,1733463.19,1868559.03
