ID_Sucursal,Sucursal,Fecha,Hora,Tickets,Unidades,Neto,Saldo_Cobertura,Saldo_Cliente
2,PARQUE PATRICIOS,2026-04-10,8,18,18,305278.05,0.0,205926.26
2,PARQUE PATRICIOS,2026-04-10,9,42,59,812105.11,170118.06,650503.84
2,PARQUE PATRICIOS,2026-04-10,10,50,70,908296.57,324812.67,857707.43
2,PARQUE PATRICIOS,2026-04-10,11,105,137,3024049.09,899884.72,1615939.36
2,PARQUE PATRICIOS,2026-04-10,12,107,138,2463923.96,714720.6,2133183.8
2,PARQUE PATRICIOS,2026-04-10,13,116,96,1383517.36,319766.73,1252604.25
2,PARQUE PATRICIOS,2026-04-10,14,121,110,2594769.63,803489.28,1985383.51
2,PARQUE PATRICIOS,2026-04-10,15,82,112,2688495.37,1468267.53,2138395.37
2,PARQUE PATRICIOS,2026-04-10,16,45,54,615690.92,101232.37,698737.08
2,PARQUE PATRICIOS,2026-04-10,17,80,98,1146789.56,278648.37,825063.78
2,PARQUE PATRICIOS,2026-04-10,18,90,115,1267207.76,368933.9,814473.08
2,PARQUE PATRICIOS,2026-04-10,19,75,103,1401116.06,467752.43,768277.85
4,RETIRO II,2026-04-10,8,24,30,333983.04,51545.72,237420.04
4,RETIRO II,2026-04-10,9,44,61,664272.47,225772.41,407181.66
4,RETIRO II,2026-04-10,10,84,127,3317493.18,2218179.46,1028217.98
4,RETIRO II,2026-04-10,11,102,122,2082354.96,810171.26,1654881.97
4,RETIRO II,2026-04-10,12,114,129,2450882.0,523665.77,1668843.29
4,RETIRO II,2026-04-10,13,91,122,1835214.33,480144.37,1264830.92
4,RETIRO II,2026-04-10,14,77,80,1832613.84,756904.68,887447.57
4,RETIRO II,2026-04-10,15,69,89,2130865.14,1207584.77,723737.63
4,RETIRO II,2026-04-10,16,69,81,1023319.97,264794.2,1005131.14
4,RETIRO II,2026-04-10,17,60,74,609983.91,110091.43,584447.02
4,RETIRO II,2026-04-10,18,105,135,2221695.42,760504.68,1107302.81
4,RETIRO II,2026-04-10,19,58,61,693367.81,190334.4,428925.02
