BANDERA;(Varios elementos);;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
FECHA;FARMACIA;Meta 1 $$;;;;;;;;;;;;;;
1/4/2026;BARRACAS; $ 14.154.070 ;;;;;;;;;;;;;;
1/4/2026;BECCAR; $ 30.984.412 ;;;;;;;;;;;;;;
1/4/2026;BELGRANO; $ 20.872.659 ;;;;;;;;;;;;;;
1/4/2026;BELGRANO II; $ 20.905.537 ;;;;;;;;;;;;;;
1/4/2026;BELGRANO III; $ 14.172.846 ;;;;;;;;;;;;;;
1/4/2026;BELGRANO IV; $ 16.672.051 ;;;;;;;;;;;;;;
1/4/2026;BELGRANO V; $ 24.267.679 ;;;;;;;;;;;;;;
1/4/2026;BELGRANO VI; $ 12.224.173 ;;;;;;;;;;;;;;
1/4/2026;BELGRANO VII - Danesa; $ 56.712.634 ;;;;;;;;;;;;;;
1/4/2026;BELGRANO VIII; $ 15.588.632 ;;;;;;;;;;;;;;
1/4/2026;BERAZATEGUI; $ 49.840.833 ;;;;;;;;;;;;;;
1/4/2026;BERAZATEGUI II; $ 20.112.245 ;;;;;;;;;;;;;;
1/4/2026;Boedo; $ 5.225.131 ;;;;;;;;;;;;;;
1/4/2026;CABALLITO; $ 47.879.983 ;;;;;;;;;;;;;;
1/4/2026;CABALLITO II; $ 18.767.544 ;;;;;;;;;;;;;;
1/4/2026;CABALLITO III; $ 22.118.610 ;;;;;;;;;;;;;;
1/4/2026;CABALLITO IV; $ 21.377.592 ;;;;;;;;;;;;;;
1/4/2026;CHACARITA; $ 7.100.564 ;;;;;;;;;;;;;;
1/4/2026;DEVOTO; $ 29.985.771 ;;;;;;;;;;;;;;
1/4/2026;Devoto II; $ 21.001.152 ;;;;;;;;;;;;;;
1/4/2026;Devoto III; $ 3.652.036 ;;;;;;;;;;;;;;
1/4/2026;Escobar; $ 3.735.129 ;;;;;;;;;;;;;;
1/4/2026;FLORES; $ 30.508.131 ;;;;;;;;;;;;;;
1/4/2026;GONZALEZ CATAN; $ 27.081.759 ;;;;;;;;;;;;;;
1/4/2026;GONZALEZ CATAN II; $ 13.347.437 ;;;;;;;;;;;;;;
1/4/2026;GONZALEZ CATAN III; $ 5.357.534 ;;;;;;;;;;;;;;
1/4/2026;ISDIN G. PACIFICO; $ 664.865 ;;;;;;;;;;;;;;
1/4/2026;ISDIN PALERMO; $ 1.034.753 ;;;;;;;;;;;;;;
1/4/2026;LAS CANITAS; $ 23.281.170 ;;;;;;;;;;;;;;
1/4/2026;LOREAL ALTO PALERMO; $ 2.749.778 ;;;;;;;;;;;;;;
1/4/2026;LOREAL G. PACIFICO; $ 813.607 ;;;;;;;;;;;;;;
1/4/2026;MERCEDES; $ 11.921.047 ;;;;;;;;;;;;;;
1/4/2026;MICROCENTRO; $ 27.454.249 ;;;;;;;;;;;;;;
1/4/2026;MICROCENTRO II; $ 31.698.935 ;;;;;;;;;;;;;;
1/4/2026;MORON; $ 24.385.937 ;;;;;;;;;;;;;;
1/4/2026;NUNEZ; $ 26.789.914 ;;;;;;;;;;;;;;
1/4/2026;PADUA; $ 8.142.826 ;;;;;;;;;;;;;;
1/4/2026;PALERMO; $ 11.854.612 ;;;;;;;;;;;;;;
1/4/2026;PALERMO II; $ 10.508.729 ;;;;;;;;;;;;;;
1/4/2026;PALERMO III; $ 9.187.067 ;;;;;;;;;;;;;;
1/4/2026;PALERMO IV; $ 3.459.039 ;;;;;;;;;;;;;;
1/4/2026;PARQUE CENTENARIO; $ 7.137.807 ;;;;;;;;;;;;;;
1/4/2026;PARQUE PATRICIOS; $ 8.800.596 ;;;;;;;;;;;;;;
1/4/2026;PILAR; $ 9.722.234 ;;;;;;;;;;;;;;
1/4/2026;POMPEYA; $ 10.039.713 ;;;;;;;;;;;;;;
1/4/2026;QUILMES; $ 27.234.607 ;;;;;;;;;;;;;;
1/4/2026;RAMOS MEJIA; $ 21.704.743 ;;;;;;;;;;;;;;
1/4/2026;RAMOS MEJIA II; $ 16.829.108 ;;;;;;;;;;;;;;
1/4/2026;RAMOS MEJIA III; $ 2.765.680 ;;;;;;;;;;;;;;
1/4/2026;RECOLETA; $ 10.664.993 ;;;;;;;;;;;;;;
1/4/2026;RECOLETA II; $ 14.210.555 ;;;;;;;;;;;;;;
1/4/2026;RECOLETA III; $ 26.869.885 ;;;;;;;;;;;;;;
1/4/2026;RECOLETA IV; $ 22.766.906 ;;;;;;;;;;;;;;
1/4/2026;RECOLETA V; $ 22.746.930 ;;;;;;;;;;;;;;
1/4/2026;RETIRO; $ 15.889.787 ;;;;;;;;;;;;;;
1/4/2026;RETIRO II; $ 11.987.580 ;;;;;;;;;;;;;;
1/4/2026;SALADILLO; $ 6.604.494 ;;;;;;;;;;;;;;
1/4/2026;SAN ISIDRO; $ 75.721.081 ;;;;;;;;;;;;;;
1/4/2026;SAN ISIDRO II; $ 20.299.834 ;;;;;;;;;;;;;;
1/4/2026;SAN MIGUEL; $ 10.012.790 ;;;;;;;;;;;;;;
1/4/2026;TRIBUNALES; $ 31.551.786 ;;;;;;;;;;;;;;
