sucursal,Nombre_Sucu,Fecha,Tickets,Unidades,Neto,Saldo_Cobertura,Saldo_Cliente
2,PARQUE PATRICIOS,10-04-2026 12:00:00 a. m.,640,739,"14175605,11","4701059,59","10839643,82"
4,RETIRO II,10-04-2026 12:00:00 a. m.,604,759,"14619678,96","6273968,44","7872561,06"
5,RECOLETA IV,10-04-2026 12:00:00 a. m.,763,1000,"28252601,98","11419195,3","14125982,98"
6,RECOLETA II,10-04-2026 12:00:00 a. m.,530,614,"13085372,61","4550267,26","9697611,59"
7,BELGRANO,10-04-2026 12:00:00 a. m.,742,861,"20304442,57","8039556,81","12142429,08"
8,MICROCENTRO II,10-04-2026 12:00:00 a. m.,862,1040,"23329940,48","11320855,84","12447334,9"
9,CABALLITO III,10-04-2026 12:00:00 a. m.,673,890,"20821308,12","10124672,06","8953749,54"
10,RECOLETA,10-04-2026 12:00:00 a. m.,650,832,"14279207,39","4085823,45","10966995,63"
11,POMPEYA,10-04-2026 12:00:00 a. m.,533,668,"11322922,12","4932633,36","5881333,52"
12,DEVOTO,10-04-2026 12:00:00 a. m.,1115,1378,"29425260,22","13642145,79","13427262,78"
13,RECOLETA III,10-04-2026 12:00:00 a. m.,960,1453,"20711289,01","7066466,57","13408180,33"
14,LAS CANITAS,10-04-2026 12:00:00 a. m.,1112,1516,"28358715,48","9501181,59","20607673,12"
15,PALERMO,10-04-2026 12:00:00 a. m.,493,670,"12078262,08","4355568,04","6945671,98"
16,TRIBUNALES,10-04-2026 12:00:00 a. m.,1104,1354,"32682816,55","17439013,08","14622765,41"
17,RETIRO,10-04-2026 12:00:00 a. m.,737,943,"16381918,9","5200465,14","9932884,47"
18,NUNEZ,10-04-2026 12:00:00 a. m.,1184,1434,"27831518,77","11434025,08","15087658,6"
19,RECOLETA V,10-04-2026 12:00:00 a. m.,795,907,"24806744,31","11557176,83",10554947
20,CABALLITO,10-04-2026 12:00:00 a. m.,1801,1932,"63524111,15","26183082,68","30349141,52"
21,CABALLITO II,10-04-2026 12:00:00 a. m.,807,962,"21950887,38","8969550,25","10038820,04"
22,FLORES,10-04-2026 12:00:00 a. m.,1471,1793,"37467977,14","14647583,87","22802385,09"
23,SAN ISIDRO,10-04-2026 12:00:00 a. m.,2685,3355,"72846063,27","24711325,28","40007561,78"
24,BECCAR,10-04-2026 12:00:00 a. m.,1249,1430,"35708507,22","14554830,77","21012899,68"
25,SAN ISIDRO II,10-04-2026 12:00:00 a. m.,848,1025,"21114964,55","11344319,87","9841366,82"
26,BELGRANO VI,10-04-2026 12:00:00 a. m.,761,905,"14948744,4","4325797,97","8612326,2"
27,MICROCENTRO,10-04-2026 12:00:00 a. m.,1411,1787,"34424154,29","14325572,47","23089846,2"
