ID_Sucursal,Sucursal,Ctx_Fecha_Hoy,Ctx_Dia_Del_Mes,Ctx_Dias_Totales_Mes,Ctx_Dias_Restantes,Ctx_Pct_Mes_Transcurrido,Ctx_Ultima_Franja_Hora,Acum_Tickets,Acum_Unidades,Acum_Neto,Acum_Cobertura,Acum_Cliente,Hoy_Tickets,Hoy_Unidades,Hoy_Neto,Hoy_Cobertura,Hoy_Cliente,Hora_Pico_Hoy,Hora_Pico_Hoy_Neto,Ultima_Franja_Con_Datos,Hora_Neto_Total,Hora_Tickets_Total,Hora_Unidades_Total,Ultima_Hora_Ticket,Alerta_Inactividad,SemAnt_Neto_HastaAhora,SemAnt_Tickets_HastaAhora,SemAnt_Unidades_HastaAhora,SemAnt_Neto_DiaCompleto,SemAnt_Tickets_DiaCompleto,Var_Pct_vs_SemAnt_HastaAhora,Meta_Diaria,Avance_Pct_Diario,Falta_Meta_Diaria
2,PARQUE PATRICIOS,2026-04-20,20,30,10,66.7,12,13381,16934,269493775.38,94731337.1,174847572.1,176.0,205.0,2937879.34,1013185.4,1805263.94,11.0,1651121.33,11.0,2937879.34,176.0,205.0,11:57:07,ACTIVA,6679389.79,327.0,405.0,18386713.09,920.0,-56.0,10655342.0,27.6,7717463.0
4,RETIRO II,2026-04-20,20,30,10,66.7,12,13703,17297,279974105.76,97160750.35,183334435.16,194.0,270.0,3126515.41,739335.23,2130551.54,8.0,941127.35,11.0,3126515.41,194.0,270.0,11:56:54,ACTIVA,7240624.65,340.0,466.0,21161414.9,1056.0,-56.8,12033560.0,26.0,8907045.0
5,RECOLETA IV,2026-04-20,20,30,10,66.7,12,22387,29874,621631616.05,240138690.19,364233222.42,258.0,301.0,6550679.23,2170780.61,4145746.5,11.0,3365062.82,11.0,6550679.23,258.0,301.0,11:58:59,ACTIVA,13559898.85,476.0,677.0,48229758.44,1543.0,-51.7,22330248.0,29.3,15779569.0
6,RECOLETA II,2026-04-20,20,30,10,66.7,12,11245,13582,287304402.02,103593305.49,195240280.06,128.0,146.0,3015718.41,954727.67,2207592.94,10.0,810228.27,11.0,3015718.41,128.0,146.0,11:59:10,ACTIVA,5916751.27,262.0,313.0,20302492.009999998,822.0,-49.0,12839058.0,23.5,9823340.0
7,BELGRANO,2026-04-20,20,30,10,66.7,12,17685,22019,479262602.89,192347794.83,245362133.89,261.0,333.0,5938322.89,2511178.01,2802184.52,11.0,2893735.38,11.0,5938322.89,261.0,333.0,11:58:04,ACTIVA,11157140.540000001,491.0,621.0,40576611.93,1458.0,-46.8,17755469.0,33.4,11817146.0
8,MICROCENTRO II,2026-04-20,20,30,10,66.7,12,18441,24769,521177072.27,251310084.62,245953801.12,398.0,509.0,7642111.04,2865232.98,5109333.16,11.0,2963341.78,11.0,7642111.04,398.0,509.0,11:57:08,ACTIVA,19055449.53,713.0,1187.0,44806249.11,1901.0,-59.9,20992749.0,36.4,13350638.0
9,CABALLITO III,2026-04-20,20,30,10,66.7,12,20289,24511,522406723.04,217016431.44,273220514.44,358.0,457.0,12140293.35,7558129.37,4458453.68,11.0,8485125.45,11.0,12275755.26,360.0,459.0,11:59:56,ACTIVA,15477564.41,565.0,723.0,40370298.95,1620.0,-21.6,20812695.0,58.3,8672402.0
10,RECOLETA,2026-04-20,20,30,10,66.7,12,12089,15176,273169894.75,90080066.83,168242573.24,143.0,188.0,2786575.01,760745.68,1987993.42,10.0,1507245.72,11.0,2786575.01,143.0,188.0,11:58:45,ACTIVA,4498607.6899999995,200.0,256.0,15455343.01,770.0,-38.1,9758595.0,28.6,6972020.0
11,POMPEYA,2026-04-20,20,30,10,66.7,12,12331,15792,264748415.81,117056360.77,150736976.23,232.0,319.0,4743667.93,2370083.08,3018645.49,10.0,2201985.41,11.0,4805805.2,233.0,320.0,11:59:57,ACTIVA,7437431.12,292.0,416.0,19827080.37,956.0,-36.2,11034430.0,43.0,6290762.0
12,DEVOTO,2026-04-20,20,30,10,66.7,12,37648,46348,929055927.41,390051641.29,502002982.56,471.0,538.0,13751713.09,5874556.08,6617726.3,11.0,5547801.47,11.0,13795649.32,473.0,540.0,11:59:51,ACTIVA,19365389.41,737.0,906.0,59370263.75,2124.0,-29.0,32476710.0,42.3,18724997.0
13,RECOLETA III,2026-04-20,20,30,10,66.7,12,28606,38229,697747392.94,264248882.18,385240634.48,355.0,470.0,9991452.0,3038130.22,5617203.56,11.0,4574946.27,11.0,10027522.5,356.0,471.0,11:58:16,ACTIVA,13990250.79,481.0,599.0,45051660.53,1908.0,-28.6,28717151.0,34.8,18725699.0
14,LAS CANITAS,2026-04-20,20,30,10,66.7,12,28331,37375,684593941.9,219659528.71,427630395.77,276.0,321.0,9054326.31,2498658.49,5629029.93,9.0,2943145.73,11.0,9054326.309999999,276.0,321.0,11:59:33,ACTIVA,9709394.76,421.0,504.0,34727416.87,1490.0,-6.7,23153975.0,39.1,14099649.0
15,PALERMO,2026-04-20,20,30,10,66.7,12,15741,20596,347100766.53,114388886.95,235936484.14,191.0,224.0,4771674.48,1605801.37,3214981.45,11.0,1709997.81,11.0,4771674.48,191.0,224.0,11:53:45,ACTIVA,10742826.65,393.0,528.0,27003001.02,1065.0,-55.6,12772286.0,37.4,8000612.0
16,TRIBUNALES,2026-04-20,20,30,10,66.7,12,17089,21811,460334314.55,239148966.74,211472094.57,441.0,531.0,11734431.54,6804570.17,6033670.04,11.0,4034405.81,11.0,11822165.93,444.0,538.0,11:59:58,ACTIVA,21638024.380000003,701.0,927.0,41840814.1,1525.0,-45.8,21564505.0,54.4,9830073.0
17,RETIRO,2026-04-20,20,30,10,66.7,12,12339,15946,269380758.89,88846639.49,162926927.68,251.0,358.0,4963865.39,949070.56,3401438.04,11.0,1907670.83,11.0,4963865.39,251.0,358.0,11:59:00,ACTIVA,7869591.68,482.0,604.0,21629903.71,1129.0,-36.9,11958012.0,41.5,6994147.0
18,NUNEZ,2026-04-20,20,30,10,66.7,12,31394,39315,756539137.86,289498965.58,416432148.48,519.0,653.0,11858254.96,4553293.12,6349173.5,11.0,4415451.26,11.0,11858254.959999999,519.0,653.0,11:59:18,ACTIVA,13307971.370000001,503.0,651.0,39197913.74,1600.0,-10.9,26948194.0,44.0,15089939.0
19,RECOLETA V,2026-04-20,20,30,10,66.7,12,17626,21901,485363139.84,202754026.61,243246443.45,296.0,356.0,8337192.59,4724890.52,3218237.47,10.0,4300125.72,12.0,8364754.989999999,299.0,359.0,12:00:02,ACTIVA,12920793.25,425.0,507.0,34874528.35,1357.0,-35.5,21708133.0,38.4,13370940.0
20,CABALLITO,2026-04-20,20,30,10,66.7,12,55804,67919,1494984934.58,596937244.78,782728009.63,627.0,771.0,18674530.09,7451272.21,9247816.31,10.0,6569874.67,11.0,18763330.09,628.0,772.0,11:59:35,ACTIVA,28443757.88,1185.0,1391.0,84725750.32,3327.0,-34.3,50192661.0,37.2,31518131.0
21,CABALLITO II,2026-04-20,20,30,10,66.7,12,18252,22328,447972659.66,173753219.79,243292184.5,267.0,307.0,7489863.74,3438770.64,3327231.89,11.0,3123309.52,11.0,7489863.74,267.0,307.0,11:58:20,ACTIVA,9488563.36,439.0,500.0,29404900.01,1296.0,-21.1,17856595.0,41.9,10366731.0
22,FLORES,2026-04-20,20,30,10,66.7,12,31852,38939,840360991.44,350614072.66,446913503.31,352.0,454.0,8832057.76,3869338.05,4984229.47,11.0,4562030.13,11.0,8832057.76,352.0,454.0,11:59:18,ACTIVA,19458373.73,680.0,873.0,57921726.26,2220.0,-54.6,34637787.0,25.5,25805729.0
23,SAN ISIDRO,2026-04-20,20,30,10,66.7,12,92880,119826,2272216046.14,810260436.69,1335810003.73,1495.0,2162.0,34253226.47,11881611.94,21142461.2,11.0,11117868.07,11.0,34253226.47,1495.0,2162.0,11:59:53,ACTIVA,47451437.84,1839.0,2515.0,138928146.45,5723.0,-27.8,76766756.0,44.6,42513530.0
24,BECCAR,2026-04-20,20,30,10,66.7,12,37171,45900,986433298.89,365443750.79,614080158.21,440.0,487.0,12039554.35,4807501.76,6269958.47,10.0,6280268.23,11.0,12039554.350000001,440.0,487.0,11:57:03,ACTIVA,15121884.2,565.0,657.0,54932595.870000005,2279.0,-20.4,31966990.0,37.7,19927436.0
25,SAN ISIDRO II,2026-04-20,20,30,10,66.7,12,21243,26002,455986832.33,188480382.95,284133069.05,340.0,437.0,12780489.83,8874164.03,4214370.99,11.0,4499221.18,11.0,12793260.29,342.0,439.0,11:59:09,ACTIVA,13020096.870000001,589.0,707.0,34587786.1,1647.0,-1.8,17937469.0,71.3,5156979.0
26,BELGRANO VI,2026-04-20,20,30,10,66.7,12,18652,24613,368019026.8,117836804.85,232050823.84,250.0,440.0,3918781.03,1053722.79,2993694.12,11.0,1608686.68,11.0,3919356.03,251.0,445.0,11:59:13,ACTIVA,5861487.42,359.0,463.0,20862076.1,1140.0,-33.1,12508913.0,31.3,8590132.0
27,MICROCENTRO,2026-04-20,20,30,10,66.7,12,23653,29982,496777196.39,163692266.68,335562512.03,518.0,649.0,15742727.63,8906225.5,6032925.66,11.0,8648947.41,11.0,15742727.63,518.0,649.0,11:57:47,ACTIVA,18589423.53,816.0,1030.0,46677951.04,2041.0,-15.3,19832433.0,79.4,4089705.0
28,BELGRANO V,2026-04-20,20,30,10,66.7,12,33360,42294,713450144.68,231474862.32,466177227.57,520.0,662.0,11027839.98,3235608.62,7679697.08,11.0,4193596.88,11.0,11027839.98,520.0,662.0,11:59:44,ACTIVA,15098778.55,655.0,856.0,41743874.89,1809.0,-27.0,23262078.0,47.4,12234238.0
29,VILLA URQUIZA,2026-04-20,20,30,10,66.7,12,39671,49318,969569679.47,375788475.18,550271915.85,508.0,588.0,10619251.39,3638814.12,6542172.3,11.0,4300994.26,11.0,10672208.98,510.0,590.0,11:59:49,ACTIVA,20953988.130000003,793.0,933.0,63498054.230000004,2587.0,-49.3,33182119.0,32.0,22562868.0
30,VILLA DEL PARQUE,2026-04-20,20,30,10,66.7,12,26886,32527,665911833.83,280936603.07,362385999.19,414.0,461.0,10508918.43,5238722.14,4991244.58,10.0,4642855.17,11.0,10508918.43,414.0,461.0,11:59:19,ACTIVA,14635308.75,576.0,730.0,44690308.94,1684.0,-28.2,24049687.0,43.7,13540769.0
31,VILLA URQUIZA II,2026-04-20,20,30,10,66.7,12,21996,27597,457244987.95,161184760.12,253613142.62,280.0,362.0,5777768.4,2053853.88,3593043.52,11.0,2245173.4,11.0,5809516.65,282.0,364.0,11:59:57,ACTIVA,9774642.69,450.0,594.0,26091146.02,1360.0,-40.9,16279590.0,35.5,10501822.0
32,VILLA URQUIZA III,2026-04-20,20,30,10,66.7,12,31073,37523,740611037.26,264248358.15,430563636.96,381.0,475.0,9883004.21,4060156.52,6439653.86,11.0,2796646.91,11.0,9883004.21,381.0,475.0,11:59:05,ACTIVA,11394357.83,508.0,590.0,49377191.85,1836.0,-13.3,24434875.0,40.4,14551871.0
34,LOREAL G. PACIFICO,2026-04-20,20,30,10,66.7,12,330,319,27749460.6,7151951.08,16506761.95,,,,,,,,,,,,,SIN DATOS,274058.88,4.0,4.0,1186959.19,15.0,0.0,1184428.0,0.0,
35,BERAZATEGUI II,2026-04-20,20,30,10,66.7,12,20277,25544,451523861.89,233860292.71,245826475.52,386.0,435.0,8027511.56,5191475.87,3430608.2,10.0,2575746.91,11.0,8028740.04,387.0,436.0,11:59:02,ACTIVA,14152574.219999999,566.0,807.0,40341838.41,1734.0,-43.3,23009214.0,34.9,14981702.0
36,BERAZATEGUI,2026-04-20,20,30,10,66.7,12,52061,65742,1310860579.04,638708859.96,737566287.67,956.0,1273.0,21153118.36,11994074.61,11239141.11,10.0,6527809.96,11.0,21212605.04,958.0,1275.0,11:59:39,ACTIVA,35335797.81,1224.0,1661.0,92361882.59,3532.0,-40.1,59227413.0,35.7,38074295.0
37,QUILMES,2026-04-20,20,30,10,66.7,12,31615,41431,715001273.53,307631480.26,412221277.34,521.0,708.0,12537564.99,6574487.77,5866044.91,11.0,4622533.56,11.0,12537564.989999998,521.0,708.0,11:58:51,ACTIVA,23759438.91,996.0,1355.0,53749536.22,2342.0,-47.2,29467857.0,42.5,16930292.0
38,BELGRANO IV,2026-04-20,20,30,10,66.7,12,15183,19347,340702916.74,117986184.12,202773616.97,260.0,324.0,4388178.68,1493992.21,2708659.16,10.0,2332377.78,11.0,4388178.68,260.0,324.0,11:58:55,ACTIVA,9423828.35,354.0,506.0,25179205.04,1105.0,-53.4,13952841.0,31.5,9564662.0
39,BELGRANO III,2026-04-20,20,30,10,66.7,12,15511,21045,341995397.79,118634404.34,208382397.31,279.0,390.0,7237658.16,3076101.65,3471044.98,11.0,3188795.08,11.0,7272278.58,284.0,397.0,11:59:57,ACTIVA,9172219.79,393.0,490.0,26255884.4,1137.0,-21.1,13860031.0,52.2,6622373.0
40,VILLA CRESPO,2026-04-20,20,30,10,66.7,12,31393,40936,617067000.9,201710105.39,401622401.55,310.0,422.0,7637087.5,2773463.92,3986379.44,11.0,2913047.86,11.0,7641413.5,311.0,424.0,11:58:55,ACTIVA,13609746.39,601.0,992.0,43022243.1,1932.0,-43.9,21446775.0,35.6,13809688.0
42,BARRACAS,2026-04-20,20,30,10,66.7,12,21006,27550,415637394.59,145946956.11,279068151.98,194.0,275.0,3759375.61,1351478.93,2621826.71,11.0,2261780.96,11.0,3759375.61,194.0,275.0,11:59:42,ACTIVA,7676399.05,353.0,440.0,24259593.830000002,1228.0,-51.0,14785872.0,25.4,11026496.0
43,BELGRANO II,2026-04-20,20,30,10,66.7,12,19358,25171,443341491.33,163293742.13,250625691.75,298.0,455.0,6327193.25,2642262.33,3005414.13,11.0,3042994.92,11.0,6332593.25,299.0,456.0,11:59:50,ACTIVA,13722376.09,532.0,634.0,32139627.619999997,1468.0,-53.9,19780013.0,32.0,13452820.0
44,VILLA BALLESTER,2026-04-20,20,30,10,66.7,12,77424,96483,1792102432.88,740188543.93,971040898.95,1042.0,1226.0,23973389.03,13107862.01,10858079.05,10.0,8795132.52,12.0,24049203.21,1043.0,1228.0,12:00:09,ACTIVA,37668225.08,1396.0,1556.0,103868900.1,4213.0,-36.4,63175162.0,37.9,39201773.0
45,VILLA BALLESTER II,2026-04-20,20,30,10,66.7,12,29249,34814,701576893.94,332155253.99,362804248.6,541.0,612.0,13880036.64,8630626.83,4778737.92,11.0,5003947.46,12.0,13946290.28,546.0,617.0,12:00:00,ACTIVA,26493155.119999997,895.0,1085.0,58351043.129999995,2283.0,-47.6,31617945.0,43.9,17737908.0
46,SAN MIGUEL,2026-04-20,20,30,10,66.7,12,11576,15097,229319959.11,106303110.55,121629977.55,202.0,277.0,3462344.06,1065046.4,2386763.89,10.0,1575032.31,11.0,3462344.06,202.0,277.0,11:59:16,ACTIVA,5995122.26,371.0,470.0,13628458.46,855.0,-42.2,10486587.0,33.0,7024243.0
