ID_Sucursal,Sucursal,Fecha,Hora,Tickets,Unidades,Neto,Saldo_Cobertura,Saldo_Cliente
5,RECOLETA IV,2026-04-19,9,14,14,407652.08,125929.98,275472.46
5,RECOLETA IV,2026-04-19,10,58,82,2087523.03,610484.76,975488.2
5,RECOLETA IV,2026-04-19,11,93,101,1400328.48,314235.65,1199203.92
5,RECOLETA IV,2026-04-19,12,49,72,677154.07,82605.4,588242.54
5,RECOLETA IV,2026-04-19,13,72,85,1871705.07,680994.77,1291350.81
5,RECOLETA IV,2026-04-19,14,64,73,832914.27,303649.75,509414.79
5,RECOLETA IV,2026-04-19,15,39,40,678121.32,179672.18,1020177.66
11,POMPEYA,2026-04-19,9,2,-2,-112395.68,-67437.4,-89916.56
11,POMPEYA,2026-04-19,10,42,48,959066.52,454615.43,534935.19
11,POMPEYA,2026-04-19,11,5,14,32065.92,0.0,48330.84
11,POMPEYA,2026-04-19,12,28,35,973508.53,719677.25,297424.99
11,POMPEYA,2026-04-19,13,56,66,910072.63,138504.1,622965.87
11,POMPEYA,2026-04-19,14,26,38,263328.73,0.0,215288.46
11,POMPEYA,2026-04-19,15,15,16,227972.34,14045.86,114263.24
12,DEVOTO,2026-04-19,9,73,85,1412501.6,696929.34,626692.56
12,DEVOTO,2026-04-19,10,176,253,3392866.68,1306077.91,2588234.92
12,DEVOTO,2026-04-19,11,190,215,3562712.38,1297233.61,2886909.67
12,DEVOTO,2026-04-19,12,161,237,3521230.82,893608.19,2489104.37
12,DEVOTO,2026-04-19,13,152,131,7230668.03,4856769.25,1896626.4
12,DEVOTO,2026-04-19,14,112,143,1636566.61,419670.67,1142396.16
12,DEVOTO,2026-04-19,15,81,94,901800.83,396991.93,294894.79
13,RECOLETA III,2026-04-19,8,6,6,77500.19,10979.62,46699.61
13,RECOLETA III,2026-04-19,9,44,52,488070.92,108287.18,438341.99
13,RECOLETA III,2026-04-19,10,29,31,449225.95,59055.42,639031.39
13,RECOLETA III,2026-04-19,11,46,51,1139944.43,226188.98,600892.86
13,RECOLETA III,2026-04-19,12,117,153,2231279.72,590132.23,1288777.59
13,RECOLETA III,2026-04-19,13,82,180,1986504.84,766802.88,1321517.87
13,RECOLETA III,2026-04-19,14,90,107,2093158.06,1315818.63,1001586.57
13,RECOLETA III,2026-04-19,15,36,95,445413.4,75650.15,294604.9
