ID_Sucursal,Sucursal,Fecha,Hora,Tickets,Unidades,Neto,Saldo_Cobertura,Saldo_Cliente
5,RECOLETA IV,2026-04-12,9,19,25,1348440.73,0.0,740570.46
5,RECOLETA IV,2026-04-12,10,59,64,1421188.23,373250.52,976873.69
5,RECOLETA IV,2026-04-12,11,44,83,785933.76,85784.16,817784.54
5,RECOLETA IV,2026-04-12,12,61,203,739714.82,104552.18,763188.02
5,RECOLETA IV,2026-04-12,13,35,54,475879.55,50839.2,286982.0
5,RECOLETA IV,2026-04-12,14,36,43,664428.75,80421.96,707762.21
5,RECOLETA IV,2026-04-12,15,58,83,988268.81,289914.69,549795.4
5,RECOLETA IV,2026-04-12,16,96,155,3217134.12,957576.94,2941351.69
5,RECOLETA IV,2026-04-12,17,74,92,1389678.77,594753.53,721143.59
5,RECOLETA IV,2026-04-12,18,42,64,1133858.83,589906.28,344289.76
5,RECOLETA IV,2026-04-12,19,43,45,545208.33,82178.34,318042.86
5,RECOLETA IV,2026-04-12,20,38,44,1598528.82,508655.75,672450.7
12,DEVOTO,2026-04-12,9,117,145,1720675.83,518712.7,1338159.47
12,DEVOTO,2026-04-12,10,169,206,3191095.26,1538671.23,1711509.01
12,DEVOTO,2026-04-12,11,248,320,4926813.82,1948462.3,3313204.52
12,DEVOTO,2026-04-12,12,254,297,7403169.23,3106398.88,3206598.74
12,DEVOTO,2026-04-12,13,124,151,2300045.84,744925.67,1665546.07
12,DEVOTO,2026-04-12,14,59,83,670045.24,115689.11,535458.74
12,DEVOTO,2026-04-12,15,79,117,2086123.19,766699.1,970955.74
12,DEVOTO,2026-04-12,16,87,142,825986.21,200013.25,348112.05
12,DEVOTO,2026-04-12,17,117,158,2830948.15,955315.88,1744016.29
12,DEVOTO,2026-04-12,18,161,208,2643981.62,780189.9,2318163.42
12,DEVOTO,2026-04-12,19,139,195,3297099.44,1602404.63,1509377.48
12,DEVOTO,2026-04-12,20,99,105,2097445.18,534241.94,1410687.56
13,RECOLETA III,2026-04-12,7,2,2,4094.1,0.0,2047.05
13,RECOLETA III,2026-04-12,8,15,28,243998.88,0.0,302789.1
13,RECOLETA III,2026-04-12,9,18,22,136123.68,0.0,104771.96
13,RECOLETA III,2026-04-12,10,65,71,846095.09,281752.17,603951.54
13,RECOLETA III,2026-04-12,11,62,66,1332971.74,382859.57,890029.35
13,RECOLETA III,2026-04-12,12,74,104,1175755.11,178753.51,1390401.41
13,RECOLETA III,2026-04-12,13,103,132,1071371.62,234266.45,767961.11
13,RECOLETA III,2026-04-12,14,80,107,1088074.35,206026.59,981014.87
13,RECOLETA III,2026-04-12,15,77,102,1397993.36,311008.84,845270.92
13,RECOLETA III,2026-04-12,16,89,113,2237478.9,1005720.04,1168212.03
13,RECOLETA III,2026-04-12,17,115,131,3643994.86,2482633.96,1195049.4
13,RECOLETA III,2026-04-12,18,93,97,1455420.2,291456.28,1307840.58
13,RECOLETA III,2026-04-12,19,128,175,2250852.48,566273.0,1499445.32
13,RECOLETA III,2026-04-12,20,108,117,1902260.96,490434.1,2125357.09
13,RECOLETA III,2026-04-12,21,84,130,1217111.24,420457.88,958282.32
14,LAS CANITAS,2026-04-12,9,43,72,2119446.12,675671.2,854189.32
14,LAS CANITAS,2026-04-12,10,43,57,583371.0,93284.8,467714.72
14,LAS CANITAS,2026-04-12,11,90,160,1557702.55,237875.53,1327740.76
14,LAS CANITAS,2026-04-12,12,106,183,1649942.03,440734.23,1244249.29
14,LAS CANITAS,2026-04-12,13,99,183,1476926.28,508869.37,847030.68
14,LAS CANITAS,2026-04-12,14,54,87,922283.92,171951.74,687144.89
14,LAS CANITAS,2026-04-12,15,90,110,1578946.07,313463.75,1027088.07
14,LAS CANITAS,2026-04-12,16,49,53,870947.56,153303.64,427745.57
14,LAS CANITAS,2026-04-12,17,100,131,2246320.7,611065.68,1283231.73
14,LAS CANITAS,2026-04-12,18,140,160,2405769.63,580547.8,1632680.09
14,LAS CANITAS,2026-04-12,19,133,164,2486756.23,515656.04,2146460.31
14,LAS CANITAS,2026-04-12,20,53,62,433881.35,22987.45,374206.36
15,PALERMO,2026-04-12,10,39,49,502846.3,102711.02,597662.66
15,PALERMO,2026-04-12,11,55,76,912159.0,244371.48,463748.62
15,PALERMO,2026-04-12,12,68,94,2095775.85,584822.75,1566922.33
15,PALERMO,2026-04-12,13,52,59,1196830.46,293319.78,883089.38
15,PALERMO,2026-04-12,14,107,154,1452597.88,353139.96,1150472.79
15,PALERMO,2026-04-12,15,60,63,92357.95,42276.55,-110210.05
15,PALERMO,2026-04-12,16,61,86,941243.81,185306.75,1063002.12
15,PALERMO,2026-04-12,17,67,81,497551.73,101406.56,388809.62
15,PALERMO,2026-04-12,18,93,128,1564617.4,392617.47,2132720.9
15,PALERMO,2026-04-12,19,86,76,1112695.12,219811.02,918580.62
15,PALERMO,2026-04-12,20,40,39,645165.76,137841.7,472075.18
18,NUNEZ,2026-04-12,9,58,95,1239048.83,561392.03,1148659.02
18,NUNEZ,2026-04-12,10,41,47,604834.29,73808.86,655742.85
18,NUNEZ,2026-04-12,11,156,199,3154348.06,839680.43,1773112.05
18,NUNEZ,2026-04-12,12,105,194,2243859.78,541376.12,1445194.04
18,NUNEZ,2026-04-12,13,143,173,4065186.13,1947731.95,1482107.12
18,NUNEZ,2026-04-12,14,65,74,1524106.5,322645.51,2089362.05
18,NUNEZ,2026-04-12,15,94,114,1221361.86,384065.74,714085.76
18,NUNEZ,2026-04-12,16,149,210,2553358.28,805057.08,1567026.35
18,NUNEZ,2026-04-12,17,126,162,3569381.74,1553267.6,1988790.03
18,NUNEZ,2026-04-12,18,122,142,2587606.75,491313.93,1924711.35
18,NUNEZ,2026-04-12,19,174,220,3027477.6,1111043.13,1794841.16
18,NUNEZ,2026-04-12,20,100,132,1749045.15,601781.95,1111336.82
20,CABALLITO,2026-04-12,0,5,3,255080.27,121786.94,72380.68
20,CABALLITO,2026-04-12,1,25,26,257770.08,23827.14,330136.79
20,CABALLITO,2026-04-12,2,4,4,197388.28,0.0,98694.14
20,CABALLITO,2026-04-12,3,4,4,30142.92,0.0,15071.46
20,CABALLITO,2026-04-12,4,2,2,5719.0,0.0,11438.0
20,CABALLITO,2026-04-12,5,1,1,4097.2,0.0,4097.2
20,CABALLITO,2026-04-12,6,1,-1,-11506.39,0.0,-11506.39
20,CABALLITO,2026-04-12,7,12,13,183796.9,20309.92,100656.96
20,CABALLITO,2026-04-12,8,19,21,460730.04,226716.68,155804.63
20,CABALLITO,2026-04-12,9,75,84,2622601.65,1185156.53,1291732.83
20,CABALLITO,2026-04-12,10,207,243,4820121.19,1680657.12,2962346.37
20,CABALLITO,2026-04-12,11,182,206,3811384.48,1405326.95,1873956.35
20,CABALLITO,2026-04-12,12,122,137,2408976.6,697370.49,1692953.07
20,CABALLITO,2026-04-12,13,162,180,2835842.36,680580.52,2347818.02
20,CABALLITO,2026-04-12,14,97,115,1920222.58,561447.24,1130221.04
20,CABALLITO,2026-04-12,15,154,155,2832334.5,767927.84,1637507.27
20,CABALLITO,2026-04-12,16,207,244,4591543.01,1419595.61,3222810.22
20,CABALLITO,2026-04-12,17,234,275,4318837.47,1127204.29,4101214.72
